"id","epa_x","epa_y","map_x","map_y"
"11184","3226960","1413467","1047654.314","388525.436"
"11185","3226836","1415604","1048946.011","388555.788"
"11186","3222221","1411946","1046878.62","388035.192"
"11187","3221870","1417791","1048853.617","388192.284"
"11188","3226309","1416331","1048832.036","387987.85"
"11189","3225097","1416821","1047451.493","389293.983"
"11190","3227134","1416139","1048246.142","388308.974"
"11191","3227039","1416294","1047581.864","389325.084"
"11192","3225671","1416898","1047552.435","388686.698"
"11193","3225263","1411546","1046998.589","387974.401"
"11194","3220248","1410834","1048014.081","387522.933"
"11195","3225628","1411037","1047765.264","388480.906"
"11196","3226394","1411189","1048559.06","388050.274"
"11197","3226960","1410862","1048532.904","388246.346"
"11199","3226950","1411134","1048223.294","388379.1"
"11200","3226577","1411538","1048017.245","387902.491"
"11201","3226686","1411937","1047365.803","389755.938"
"11202","3226220","1411583","1046639.237","389275.74"
"11206","3225641","1411600","1048383.333","388688.716"
"11207","3225956","1411396","1046807.439","389344.72"
"11208","3225434","1411935","1048889.169","389855.873"
"11209","3225651","1411624","1047555.737","388042.36"
"11210","3225445","1411970","1047895.672","390168.964"
"11211","3224781","1411859","1048049.998","388977.59"
"11212","3225003","1411785","1048067.652","388992.517"
"11214","3225723","1412430","1048164.541","389196.877"
"11215","3226120","1412145","1048653.522","388438.984"
"11216","3226847","1412299","1048972.367","387882.99"
"11217","3226961","1412522","1047956.358","389832.375"
"11219","3226404","1412405","1048968.321","387886.341"
"11220","3226096","1412626","1047401.682","388459.77"
"11221","3226530","1412644","1048193.336","388577.223"
"11222","3226118","1413057","1048677.692","387909.951"
"12001","3226610","1412946","1047776.818","389660.245"
"12002","3225671","1413207","1048247.247","388392.068"
"12005","3226993","1413465","1048262.6","388354.215"
"12010","3226231","1413420","1048439.563","388236.191"
"12011","3226207","1413714","1048081.321","387635.042"
"12012","3226960","1413771","1046071.432","389731.795"
"12013","3226679","1415737","1047240.111","389239.914"
"12015","3226936","1415689","1048722.332","388537.684"
"12017","3227036","1415627","1048009.748","388906.306"
"12018","3227021","1415982","1048257.977","388986.063"
"12019","3226571","1415181","1048442.299","388243.442"
"12020","3226371","1414796","1048690.595","389463.151"
"12021","3226308","1414794","1047819.068","389079.376"
"12023","3226851","1415214","1047374.772","388040.111"
"12025","3227013","1415240","1047181.639","389610.205"
"12029","3226812","1414936","1048526.701","387908.187"
"12030","3226843","1414922","1047172.258","389273.865"
"12031","3226553","1414586","1047504.766","388227.827"
"12032","3226895","1414578","1047269.208","387469.907"
"12033","3227061","1414401","1048348.787","388963.667"
"12038","3226696","1414154","1047978.491","388921.978"
"12041","3226332","1414284","1047632.655","389070.648"
"12043","3225658","1414258","1048774.329","388047.47"
"12044","3225821","1414352","1047541.908","388115.733"
"12046","3225445","1414133","1049119.678","388377.184"
"12047","3225047","1414101","1047957.434","389625.858"
"12048","3225025","1414451","1048404.319","388920.621"
"12049","3225110","1414724","1048262.519","388354.596"
"12050","3225468","1414497","1047724.103","388964.141"
"12051","3225447","1414987","1047921.411","388048.554"
"12052","3225122","1415250","1047503.713","388230.787"
"12053","3225011","1415808","1047395.694","389053.601"
"12055","3225153","1416453","1048544.516","387832.394"
"12057","3225011","1416552","1047192.282","388859.874"
"12061","3225009","1416218","1046657.22","389984.594"
"12062","3225409","1416002","1048023.58","387532.864"
"12064","3225628","1415695","1047765.972","388485.044"
"12070","3226246","1416014","1047882.429","389862.658"
"12071","3225685","1416120","1048757.287","389163.516"
"12072","3225346","1415579","1048554.258","389038.76"
"12075","3225595","1415252","1048235.424","388369.864"
"12078","3226047","1415543","1048439.891","388234.647"
"12079","3225985","1415215","1046880.517","388120.525"
"12080","3225750","1414915","1047234.883","388151.313"
"12082","3219723","1411892","1048748.565","387920.637"
"12084","3220565","1412418","1048215.516","388242.171"
"12085","3220701","1412133","1048140.768","390179.48"
"12088","3221306","1412429","1047638.815","388667.261"
"12090","3221141","1412039","1048102.78","387978.223"
"12092","3220900","1411645","1049035.174","387902.426"
